company_slug,company,careers_url,ats_platform,email_pattern,email_pattern_status,email_pattern_source,jobs_open_count,top_job_ids,contacts_count,contacts_by_type,referral_coverage,status,last_updated,notes
openhands,OpenHands,,,,unknown,,1,openhands_enterprise_agent_engineer_57564a95,0,{},none,active,2026-08-23,
openrouter,OpenRouter,,,,unknown,,2,openrouter_applied_ai_engineer_407f71b5;openrouter_research_scientist_8daf0f29,0,{},none,active,2026-08-23,
oracle,Oracle,,,,unknown,,1,li_oracle_senior_applied_scientist_4447214228,0,{},none,active,2026-08-23,
palo_alto_networks,Palo Alto Networks,,,,unknown,,7,palo_alto_networks_sr_staff_ai_ml_data_scientist_adem_4411531812;palo_alto_networks_principal_machine_learning_platform_engineer__4442384138;palo_alto_networks_principal_ai_engineer_enterprise_ai_solutions_4403282708;palo_alto_networks_staff_sr_staff_ai_engineer_enterprise_ai_solu_4403298114;palo_alto_networks_senior_principal_ai_software_engineer_it_go_t_4356043671,5,"{""2nd"": 4, ""3rd"": 1}",weak,active,2026-08-23,
perplexity,Perplexity,,,,unknown,,3,li_perplexity_member_of_technical_staff_ai_researcher_4322223560;li_perplexity_member_of_technical_staff_ai_software_en_4444619270;li_perplexity_member_of_technical_staff_model_behavior_4446947567,3,"{""2nd"": 3}",weak,active,2026-08-23,
physical_intelligence,Physical Intelligence,,,,unknown,,2,physical_intelligence_research_scientist_f83ba447;physical_intelligence_research_internships_f020ff1a,0,{},none,active,2026-08-23,
plaid,Plaid,,,,unknown,,1,plaid_internal_communications_6887f482,0,{},none,active,2026-08-23,
poolside,Poolside,,,,unknown,,3,poolside_member_of_engineering_post_training_7662c253;poolside_member_of_engineering_agent_sandboxes_9a4f25e5;poolside_member_of_engineering_inference_infrastructure_1f2a733a,0,{},none,active,2026-08-23,
prime_intellect,Prime Intellect,,,,unknown,,5,prime_intellect_applied_research_rl_agents_46d9d060;prime_intellect_research_engineer_reinforcement_learning_ee13090e;prime_intellect_research_engineer_distributed_training_8bd52610;prime_intellect_research_engineer_rl_infrastructure_05e4b76b;prime_intellect_internship_486b3511,0,{},none,active,2026-08-23,
qualcomm,Qualcomm,,,,unknown,,1,li_qualcomm_ai_researcher_on_device_llm_efficiency_4437046937,0,{},none,active,2026-08-23,
ramp,Ramp,,,,unknown,,3,ramp_applied_ai_engineer_d204e136;ramp_applied_ai_engineer_fullstack_6a7e382f;ramp_senior_applied_scientist_credit_risk_2888b101,0,{},none,active,2026-08-23,
reflection_ai,Reflection AI,,,,unknown,,4,reflection_ai_forward_deployed_engineer_lead_llm_post_training_1d029ec2;reflection_ai_forward_deployed_engineer_llm_post_training_9e0c3947;reflection_ai_forward_deployed_engineer_ai_engineer_8b97b583;reflection_ai_forward_deployed_engineer_lead_ai_engineer_56fbaa8a,0,{},none,active,2026-08-23,
reka,Reka,,,,unknown,,6,reka_member_of_technical_staff_machine_learning_en_ash_Reka_87ec3e1d-3083-4;reka_member_of_technical_staff_gpu_performance_eng_ash_Reka_6595a48b-8dfc-4;reka_member_of_technical_staff_data_intelligence_ash_Reka_32f1d782-9a49-4;reka_member_of_technical_staff_robotics_ash_Reka_9cdfc4f4-9594-4;reka_member_of_technical_staff_ml_ash_Reka_731e2ebc-2e66-4,0,{},none,active,2026-08-23,
retell_ai,Retell AI,,,,unknown,,6,retell_ai_research_scientist_llm_b0d780eb;retell_ai_founders_initiatives_ai_agents_21cf0117;retell_ai_applied_ai_engineer_customer_facing_1fcd6e82;retell_ai_senior_machine_learning_engineer_dcc921b7;retell_ai_research_scientist_audio_7dbe5404,0,{},none,active,2026-08-23,
rex_zone,Rex.zone,,,,unknown,,1,li_rex_zone_ai_research_scientist_united_states_remo_4388395390,0,{},none,active,2026-08-23,
roku,Roku,,,,unknown,,1,li_roku_software_engineer_embedded_agentic_ai_4447079400,0,{},none,active,2026-08-23,
sage_care,Sage Care,,,,unknown,,1,li_sage_care_software_engineer_ai_research_prototypin_4446845111,0,{},none,active,2026-08-23,
sanas,Sanas,,,,unknown,,1,li_sanas_member_of_technical_staff_llm_post_train_4456167120,0,{},none,active,2026-08-23,
scale_ai,scale_ai,,,,unknown,,93,scale_ai_senior_staff_machine_learning_research_engineer_ge_4658162005;scaleai_frontier_agents_engineer_applied_ai_4720573005;scale_ai_staff_senior_machine_learning_research_engineer_4714527005;scaleai_senior_frontier_agents_engineer_applied_ai_4720478005;scale_ai_machine_learning_systems_research_engineer_agent_p_4625341005,0,{},none,active,2026-08-23,
scalr,scalr,,,,unknown,,1,li_scalr_ai_engineer_4454196842,0,{},none,active,2026-08-23,
seekr,Seekr,,,,unknown,,1,li_seekr_ai_engineer_scientist_staff_4457387062,0,{},none,active,2026-08-23,
sentinelone,SentinelOne,,,,unknown,,12,sentinelone_sr_manager_ai_software_engineering_4446386044;sentinelone_senior_ai_platform_engineer_infrastructure_se_gh_7823236003;sentinelone_staff_ai_platform_engineer_infrastructure_ser_gh_7823203003;sentinelone_principal_ai_engineering_architect_4440938571;sentinelone_senior_staff_ai_platform_engineer_gh_7805759003,3,"{""2nd"": 3}",weak,active,2026-08-23,
serve_robotics,Serve Robotics,,,,unknown,,2,serve_robotics_lead_machine_learning_engineer_021eee2a;serve_robotics_full_stack_software_engineer_internal_services_d562a0f5,0,{},none,active,2026-08-23,
sierra,Sierra,,,,unknown,,20,sierra_agent_experience_designer_voice_multilingual_1a0e307f;sierra_gtm_operations_analyst_agent_development_85e1d0f9;sierra_people_partner_agent_development_56fe4918;sierra_software_engineer_agent_architecture_b3829801;sierra_software_engineer_agent_brazilian_portuguese_speaking_f51d6c09,0,{},none,active,2026-08-23,
snorkel_ai,Snorkel AI,,,,unknown,,5,snorkel_ai_applied_ai_engineer_enterprise_solutions_gh_5709067004;snorkel_ai_applied_ai_engineer_federal_top_secret_clearance_gh_5721276004;snorkel_ai_research_scientist_frontier_benchmarks_gh_6009489004;snorkel_ai_research_scientist_gh_5690608004;snorkel_ai_research_scientist_rl_training_gh_6009496004,0,{},none,active,2026-08-23,
spycloud,SpyCloud,,,,unknown,,1,spycloud_senior_data_scientist_applied_ml_4448639725,0,{},none,active,2026-08-23,
stability_ai,stability_ai,,,,unknown,,1,stabilityai_research_scientist_professional_creative_workflows_4924873101,0,{},none,active,2026-08-23,
stack_ai,Stack AI,,,,unknown,,1,stack_ai_forward_deployed_ai_engineer_d65c8bc9,0,{},none,active,2026-08-23,
standard_bots,Standard Bots,,,,unknown,,1,standard_bots_ai_research_engineer_a3cd1d01,0,{},none,active,2026-08-23,
superannotate,SuperAnnotate,,,,unknown,,1,superannotate_research_engineer_26b7799a-b68a-47d2-bde1-891fbd7e2e68,0,{},none,active,2026-08-23,
synthesia,Synthesia,,,,unknown,,1,synthesia_research_engineer_in_data_aa69627f,0,{},none,active,2026-08-23,
taxbit,Taxbit,,,,unknown,,1,li_taxbit_agentic_ai_engineer_4436886602,0,{},none,active,2026-08-23,
tenex_ai,TENEX.AI,,,,unknown,,2,tenex_ai_ai_ml_engineer_ii_4422770409;tenex_ai_principal_ai_engineer_4396237693,0,{},none,active,2026-08-23,
tenstorrent,Tenstorrent,,,,unknown,,2,tenstorrent_machine_learning_research_engineer_llms_ai_systems_gh_5163484007;tenstorrent_risc_v_ai_hpc_agentic_software_engineering_lead_gh_5056085007,0,{},none,active,2026-08-23,
the_intersect_group,The Intersect Group,,,,unknown,,1,li_the_intersect_group_artificial_intelligence_engineer_4454418767,0,{},none,active,2026-08-23,
together_ai,together_ai,,,,unknown,,32,together_ai_research_engineer_post_training_5179372007;together_ai_forward_deployed_engineer_inference_post_training__5199993007;together_ai_senior_backend_engineer_inference_platform_4835763007;together_ai_staff_machine_learning_engineer_voice_ai_5140763007;together_ai_research_engineer_large_scale_training_5199554007,0,{},none,active,2026-08-23,
unconventional_ai,Unconventional AI,,,,unknown,,1,li_unconventional_ai_ai_systems_language_reasoning_models_4420164179,0,{},none,active,2026-08-23,
vannevar_labs,Vannevar Labs,,,,unknown,,4,vannevar_labs_machine_learning_engineer_gh_5045652007;vannevar_labs_product_engineer_systems_agents_ts_sci_clearance_required_gh_5165235007;vannevar_labs_senior_software_engineer_agents_platform_gh_5100492007;vannevar_labs_public_policy_community_affairs_intern_gh_5175741007,0,{},none,active,2026-08-23,
vapi,Vapi,,,,unknown,,2,vapi_agent_strategist_nyc_72ec9643;vapi_agent_strategist_sf_adbc573f,0,{},none,active,2026-08-23,
vast_ai,Vast.ai,,,,unknown,,1,li_vast_ai_ai_agent_researcher_4436475694,0,{},none,active,2026-08-23,
waabi,Waabi,,,,unknown,,11,waabi_research_engineer_world_models_ef8b9a24-a010-4ef6-814c-3503e268e9a3;waabi_research_scientist_world_models_37af7fe8-1d7f-458d-9e8a-942ac0c75a3d;waabi_research_scientist_simulation_agents_48a13158-5489-4fac-8643-2d4e2fdc410e;waabi_research_engineer_b8498714-0bac-43bc-9483-f2e280547ebe;waabi_research_engineer_learnable_planner_integration_30f77194-6f1c-4ee2-8bb9-0eb9763250af,0,{},none,active,2026-08-23,
westfield_insurance,Westfield Insurance,,,,unknown,,1,li_westfield_insurance_ai_engineer_4369653092,0,{},none,active,2026-08-23,
whatnot,Whatnot,,,,unknown,,1,li_whatnot_llm_platform_engineer_4437900104,0,{},none,active,2026-08-23,
writer,Writer,,,,unknown,,4,writer_ai_research_scientist_100b3aec;writer_software_engineer_generative_ai_4d5f11bd;writer_software_engineer_agents_6ee2fc03;writer_ai_engineer_8889d06e,0,{},none,active,2026-08-23,
